31;30;30
30;30;30
30;31;30
30;30;31
30;30;32
30;30;33
30;31;31
30;32;30
30;30;42
31;31;31
31;32;31
31;31;32
31;31;33
30;32;32
30;30;62
31;31;55
30;30;69
31;31;60
30;30;88
48;31;31
31;31;81
47;32;32
30;30;93
54;31;31;Canta
31;31;84
31;43;31;Junín
61;30;30
30;30;111;Casapalca
30;30;114
62;30;30
31;31;104
31;31;105;Lucanas
59;32;32
30;30;132
30;30;133;Pisco
31;31;125
31;31;126
71;31;31
30;30;151;Huascarán - Impassable
30;30;152
72;31;31
31;54;31
31;31;146
31;31;147
74;32;32
75;32;32;Nazca
30;30;170
30;30;171
31;31;167
31;31;168
31;59;31
30;61;30
88;31;31
89;31;31
30;30;189
30;62;30
92;30;30
30;30;188
31;31;188
93;30;30
31;31;189
90;32;32
91;32;32
30;30;207
30;30;206
31;31;208
31;31;209
30;30;225
31;67;31
31;68;31
30;30;224
105;31;31
106;31;31;Imata
31;31;228
31;31;229
30;30;242
30;30;243
106;32;32
107;32;32
30;30;250
31;31;248
31;31;249
31;31;250
31;76;31
123;30;30
122;31;31
123;31;31
31;77;31
124;30;30
122;32;32
123;32;32
31;84;31
31;85;31
140;31;31
139;31;31
137;32;32
138;32;32
30;91;30
153;30;30
30;92;30
31;92;31
154;30;30
31;93;31
152;32;32
156;31;31
157;31;31
31;99;31
31;100;31
173;31;31
174;31;31
31;105;31
182;30;30
183;30;30
31;106;31
31;110;31
31;111;31
190;31;31
191;31;31
31;116;31
31;115;31
30;120;30
30;121;30
31;120;31
31;121;31
207;31;31
208;31;31
211;30;30
212;30;30
31;125;31
31;126;31
224;31;31
31;130;31
225;31;31
31;131;31
31;135;31
31;136;31
240;30;30
240;31;31
241;31;31
241;30;30
31;140;31
250;30;30
31;141;31
250;31;31
31;145;31
31;144;31
31;148;31
30;149;30
30;148;30
31;149;31
31;151;31
31;153;31
31;152;31
31;154;31
31;155;31
31;156;31
31;157;31
31;158;31
31;159;31
31;160;31
31;162;31
31;161;31
31;163;31
31;164;31
31;165;31
31;166;31
31;167;31
31;168;31
31;169;31
31;170;31
31;171;31
31;172;31
31;173;31
31;174;31
31;175;31
30;176;30
31;176;31
30;177;30
31;177;31
31;178;31
31;179;31
31;180;31
31;181;31
31;182;31
31;183;31
31;184;31
31;185;31
31;186;31
31;187;31
31;189;31
31;188;31
31;190;31
31;191;31
31;192;31
31;193;31
31;194;31
31;195;31
31;196;31
31;197;31
31;198;31
31;199;31
31;200;31
31;201;31
30;203;30
31;202;31
31;203;31
31;204;31
30;204;30
31;205;31
31;206;31
31;208;31
31;207;31
31;209;31
31;211;31
31;210;31
31;212;31
31;213;31
31;214;31
31;216;31
31;215;31
31;217;31
31;218;31
31;219;31
31;220;31
31;221;31
31;223;31
31;222;31
31;224;31
31;225;31
31;226;31
31;227;31
31;228;31
30;229;30
31;230;31
30;230;30
31;229;31
31;231;31
31;232;31
31;233;31
31;234;31
31;235;31
31;236;31
31;237;31
31;238;31
31;239;31
31;240;31
31;242;31
31;241;31
31;243;31
31;245;31
31;244;31
31;247;31
31;246;31
31;248;31
31;249;31
31;250;31
